course_name,group_name,Тест (%),Заявки,Приступили,50%,100%,Заявки в школу,Средний результат (%)
Академическое письмо (Academic Writing),Академ. письмо 16.01,88.65714285714286,35,12,4,1,10,0.28721682847896435
Академическое письмо (Academic Writing),Академ. письмо 26.09,92.74193548387096,93,73,41,7,54,0.34286474265194844
Академическое письмо (Academic Writing),Академ. письмо 28.11,92.9795918367347,49,11,3,1,9,0.21535745807590467
Академическое письмо (Academic Writing),Академ.письмо 24.10,89.67213114754098,61,16,8,3,9,0.2803398058252427
Античная философия,Античная философия 16.01,53.5,6,4,3,0,4,0.4340909090909091
Античная философия,Античная философия 28.11,69.92307692307692,13,6,5,0,3,0.4181818181818182
Биологический калейдоскоп,Биолог. калейдоскоп 26.09,90.3082191780822,146,142,79,15,44,0.2573674981616606
Биологический калейдоскоп,Биологический калейдоскоп 16.01,88.69047619047619,42,29,17,2,12,0.24705719429441914
Биологический калейдоскоп,Биологический калейдоскоп 24.10,89.38356164383562,73,52,27,9,14,0.23185047883843066
Биологический калейдоскоп,Биологический калейдоскоп 28.11,86.25,60,39,19,6,10,0.22170734218927002
Из чего сделано все вокруг? Начинаем изучать химию,Из чего всё сделано 16.01,91.6,25,18,10,2,5,0.289308176100629
Из чего сделано все вокруг? Начинаем изучать химию,Из чего всё сделано 24.10,90.88495575221239,113,70,37,9,19,0.2851752021563342
Из чего сделано все вокруг? Начинаем изучать химию,Из чего сделано все вокруг 28.11,90.39473684210526,38,19,3,1,7,0.16385302879841113
Лингвистика для начинающих,Лингв. нач. 26.09,96.73913043478261,23,23,13,2,15,0.27279102384291726
Лингвистика для начинающих,Лингвистика для нач. 28.11,93.12903225806451,62,17,6,0,10,0.22770398481973433
Математика для начинающих,Математика для начин 28.11,90.45054945054945,182,84,51,11,29,0.41110736747529186
Математика для начинающих,Математика нач. 26.09,95.85333333333334,75,74,57,14,26,0.4667899031106578
Математическая физика для начинающих,Мат. физика (начинающие) 24.10,89.55223880597015,67,38,19,3,13,0.2893844781445138
Математическая физика для начинающих,Мат. физика (начинающие) 28.11,84.31683168316832,101,45,24,1,18,0.2806779661016948
Математическая физика для начинающих,Мат.физика (начинающие) 16.01,87.02272727272727,44,30,16,0,10,0.30225988700564965
Основы программирования на языке Python,Основы Python 24.10,83.78260869565217,115,68,33,9,26,0.41223908918406066
Основы программирования на языке Python,Основы Python 26.09,85.23243243243243,185,175,104,33,72,0.44479262672811054
Основы программирования на языке Python,Основы программирования 16.01,86.43373493975903,83,41,27,9,14,0.5239968528717545
Основы программирования на языке Python,Основы программирования 28.11,85.30097087378641,103,53,29,9,25,0.4576993304930006
Первые шаги в робототехнику,Первые шаги в робототехнику 16.01,82.23529411764706,17,10,5,0,3,0.3051282051282051
Первые шаги в робототехнику,Первые шаги в робототехнику 24.10,86.9090909090909,33,25,14,5,10,0.4246153846153846
Первые шаги в робототехнику,Первые шаги в робототехнику 28.11,83.6774193548387,31,18,8,3,6,0.3190883190883191
Первые шаги в робототехнику,Робототехника 26.09,85.92857142857143,42,41,26,9,12,0.39899937460913076
Подготовка к олимпиаде «Русский медвежонок»,Русский медвежонок 16.01,85.76744186046511,43,24,11,3,13,0.32589285714285715
Подготовка к олимпиаде «Русский медвежонок»,Русский медвежонок 24.10,84.89041095890411,73,34,20,3,13,0.3697478991596639
Подготовка к олимпиаде «Русский медвежонок»,Русский медвежонок 26.09,86.31111111111112,135,133,80,12,52,0.4589151450053705
Подготовка к олимпиаде «Русский медвежонок»,Русский медвежонок 28.11,89.01587301587301,63,25,12,3,13,0.3864285714285715
Семейная экономика,Семейная экономика 16.01,89.0,23,15,7,0,6,0.3202141900937081
Семейная экономика,Семейная экономика 24.10,87.14666666666666,75,45,25,3,19,0.3446675591253905
Семейная экономика,Семейная экономика 28.11,86.91428571428571,35,18,9,2,6,0.32976349843819724
Финансовая грамотность,Фин. грамотность 28.11,85.75,36,19,9,2,13,0.35301090564248455
Экономика фирмы,Экономика фирмы 16.01,83.38888888888889,18,7,1,0,6,0.1684981684981685
Экономика фирмы,Экономики фирмы 28.11,89.44827586206897,29,12,2,1,8,0.1452991452991453
